,Name of movie,Description,Genre,Stars
752,Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Drama Music Romance,7.7
753,Nebraska,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",Adventure Comedy Drama,7.7
754,Wreck-It Ralph,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Animation Adventure Comedy,7.7
755,The Little Prince,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",Animation Adventure Drama,7.7
756,Detachment,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Drama,7.7
757,Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",Comedy Fantasy Romance,7.7
758,Confessions,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,Drama Thriller,7.7
759,The Lego Movie,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Animation Adventure Comedy,7.7
760,Gravity,Two astronauts work together to survive after an accident leaves them stranded in space.,Adventure Drama Sci-Fi,7.7
761,Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Action Adventure Sci-Fi,7.7
762,Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Drama War,7.7
763,The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",Biography Drama,7.7
764,X: First Class,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",Action Adventure Sci-Fi,7.7
765,The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Comedy,7.7
766,Skyfall,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Action Adventure Thriller,7.7
767,Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",Comedy Drama Romance,7.7
768,Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",Biography Drama Thriller,7.7
769,500 Days of Summer,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",Comedy Drama Romance,7.7
770,Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",Adventure Fantasy Mystery,7.7
771,Ponyo,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Animation Adventure Comedy,7.7
772,Frost/Nixon,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,Biography Drama History,7.7
773,Paprika,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",Animation Drama Fantasy,7.7
774,Changeling,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,Biography Crime Drama,7.7
775,Flipped,Two eighth-graders start to have feelings for each other despite being total opposites.,Comedy Drama Romance,7.7
776,The Girl Who Leapt Through Time,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",Animation Adventure Comedy,7.7
777,This Is England,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Crime Drama,7.7
778,Ex Machina,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Drama Sci-Fi Thriller,7.7
779,After the Wedding,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Drama,7.7
780,The Last King of Scotland,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,Biography Drama History,7.7
781,Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",Crime Drama Mystery,7.7
782,Lucky Number Slevin,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Crime Drama Thriller,7.7
783,Joyeux Noel,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Drama History Music,7.7
784,Control,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",Biography Drama Music,7.7
785,Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Animation Adventure Comedy,7.7
786,Black Book,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Drama Thriller War,7.7
787,Brokeback Mountain,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Drama Romance,7.7
788,3:10 to Yuma,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,Action Crime Drama,7.7
789,Crash,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Crime Drama Thriller,7.7
790,Kung Fu Hustle,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Action Comedy Fantasy,7.7
791,The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Action Mystery Thriller,7.7
792,The Machinist,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Drama Thriller,7.7
793,Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Biography Drama Music,7.7
794,Lost in Translation,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,Comedy Drama,7.7
795,Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Adventure Family Fantasy,7.7
796,Man on Fire,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Action Crime Drama,7.7
797,Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Animation Drama Family,7.7
798,The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Action Drama,7.7
799,The Magdalene Sisters,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,Drama,7.7
800,Finding Neverland,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Biography Drama Family,7.7
801,Good Bye Lenin!,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Comedy Drama Romance,7.7
802,In America,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,Drama,7.7
803,Adaptation.,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Comedy Drama,7.7
804,Black Hawk Down,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,Drama History War,7.7
805,Road to Perdition,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Crime Drama Thriller,7.7
806,The Experiment,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",Drama Thriller,7.7
807,Billy Elliot,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Drama Music,7.7
808,Hedwig and the Angry Inch,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,Comedy Drama Music,7.7
809,The Count of Monte Cristo,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Action Adventure Drama,7.7
810,Ocean's Eleven,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Crime Thriller,7.7
811,Vampire Hunter D: Bloodlust,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",Animation Action Fantasy,7.7
812,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Adventure Comedy Crime,7.7
813,Interstate 60: Episodes of the Road,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",Adventure Comedy Drama,7.7
814,"South Park: Bigger, Longer & Uncut","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",Animation Comedy Fantasy,7.7
815,Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss.,Comedy,7.7
816,Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Comedy Drama,7.7
817,The Boondock Saints,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Action Crime Thriller,7.7
818,Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Crime Drama Thriller,7.7
819,Run Lola Run,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Crime Drama Thriller,7.7
820,Rushmore,The extracurricular king of Rushmore Preparatory School is put on academic probation.,Comedy Drama Romance,7.7
821,Open Your Eyes,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",Drama Mystery Sci-Fi,7.7
822,Being John Malkovich,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Comedy Drama Fantasy,7.7
823,As Good as It Gets,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",Comedy Drama Romance,7.7
824,The Game,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",Drama Mystery Thriller,7.7
825,The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Action Adventure Sci-Fi,7.7
826,Le Dîner de Cons,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Comedy,7.7
827,Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Biography Crime Drama,7.7
828,Happy Together,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,Drama Romance,7.7
829,Shine,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",Biography Drama Music,7.7
830,Primal Fear,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",Crime Drama Mystery,7.7
831,Hamlet,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Drama,7.7
832,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Drama Romance,7.7
833,A Little Princess,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Drama Family Fantasy,7.7
834,Fallen Angels,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Comedy Crime Drama,7.7
835,The Postman,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Biography Comedy Drama,7.7
836,Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Comedy,7.7
837,What's Eating Gilbert Grape,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Drama,7.7
838,Short Cuts,The day-to-day lives of several suburban Los Angeles residents.,Comedy Drama,7.7
839,Philadelphia,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Drama,7.7
840,The Muppet Christmas Carol,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Comedy Drama Family,7.7
841,Malcolm X,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",Biography Drama History,7.7
842,The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Action Adventure Drama,7.7
843,Porco Rosso,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Animation Adventure Comedy,7.7
844,Glengarry Glen Ross,An examination of the machinations behind the scenes at a real estate office.,Crime Drama Mystery,7.7
845,A Few Good Men,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Drama Thriller,7.7
846,Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Comedy Drama,7.7
847,Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Drama,7.7
848,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Comedy Drama Thriller,7.7
849,Miller's Crossing,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Crime Drama Thriller,7.7
850,Who Framed Roger Rabbit,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Animation Adventure Comedy,7.7
851,The Vanishing,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",Mystery Thriller,7.7
852,The Last Emperor,The story of the final Emperor of China.,Biography Drama History,7.7
853,Evil Dead II,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Comedy Horror,7.7
854,Empire of the Sun,A young English boy struggles to survive under Japanese occupation of China during World War II.,Action Drama History,7.7
855,The Name of the Rose,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Crime Drama Mystery,7.7
856,Down by Law,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Comedy Crime Drama,7.7
857,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",Drama Mystery Thriller,7.7
858,The Purple Rose of Cairo,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",Comedy Fantasy Romance,7.7
859,After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Comedy Crime Drama,7.7
860,Zelig,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Comedy,7.7
861,The Verdict,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Drama,7.7
862,Star Trek II: The Wrath of Khan,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Action Adventure Sci-Fi,7.7
863,First Blood,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Action Adventure,7.7
864,Ordinary People,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Drama,7.7
865,Airplane!,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Comedy,7.7
866,Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Horror Thriller,7.7
867,The Tenant,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,Drama Thriller,7.7
868,Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Comedy War,7.7
869,The Taking of Pelham One Two Three,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Action Crime Thriller,7.7
870,Blazing Saddles,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Comedy Western,7.7
871,Serpico,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Biography Crime Drama,7.7
872,Enter the Dragon,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Action Crime Drama,7.7
873,Deliverance,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",Adventure Drama Thriller,7.7
874,The French Connection,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,Action Crime Drama,7.7
875,Dirty Harry,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",Action Crime Thriller,7.7
876,The Odd Couple,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Comedy,7.7
877,The Dirty Dozen,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Action Adventure War,7.7
878,Belle de Jour,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Drama Romance,7.7
879,A Man for All Seasons,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Biography Drama History,7.7
880,Repulsion,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Drama Horror Thriller,7.7
881,Zulu,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Drama History War,7.7
882,Goldfinger,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Action Adventure Thriller,7.7
883,The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Drama Horror Mystery,7.7
884,Cape Fear,A lawyer's family is stalked by a man he once helped put in jail.,Drama Thriller,7.7
885,Peeping Tom,"A young man murders women, using a movie camera to film their dying expressions of terror.",Drama Horror Thriller,7.7
886,The Magnificent Seven,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,Action Adventure Western,7.7
887,Les yeux sans visage,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,Drama Horror,7.7
888,Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Drama Horror Sci-Fi,7.7
889,Rebel Without a Cause,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Drama,7.7
890,The Ladykillers,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Comedy Crime,7.7
891,Sabrina,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Comedy Drama Romance,7.7
892,The Caine Mutiny,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",Drama War,7.7
893,The Day the Earth Stood Still,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Drama Sci-Fi,7.7
894,Fantasia,A collection of animated interpretations of great works of Western classical music.,Animation Family Fantasy,7.7
895,The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",Horror Sci-Fi,7.7
896,Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Biography Drama History,7.6
897,Searching,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Drama Mystery Thriller,7.6
898,Once Upon a Time... In Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Comedy Drama,7.6
899,Loveless,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Drama,7.6
900,Train to Busan,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Action Horror Thriller,7.6
901,The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Drama,7.6
902,Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Biography Crime Drama,7.6
903,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Drama,7.6
904,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,Adventure Comedy Drama,7.6
905,Victoria,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Crime Drama Romance,7.6
906,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Action Adventure Comedy,7.6
907,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Action Crime Drama,7.6
908,Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Action Biography Drama,7.6
909,Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Animation Action Adventure,7.6
910,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Animation Adventure Comedy,7.6
911,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Action Crime Drama,7.6
912,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Drama Sport,7.6
913,Leviathan,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Crime Drama,7.6
914,Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,Action Crime Drama,7.6
915,Philomena,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Biography Comedy Drama,7.6
916,The Body,A detective searches for the body of a femme fatale which has gone missing from a morgue.,Mystery Thriller,7.6
917,The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Action Thriller,7.6
918,End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",Action Adventure Crime,7.6
919,A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Drama Music Romance,7.6
920,True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Drama Western,7.6
921,In a Better World,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Drama Romance,7.6
922,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Animation Adventure Comedy,7.6
923,50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Comedy Drama Romance,7.6
924,Celda 211,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Action Adventure Crime,7.6
925,Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Biography Drama Sport,7.6
926,The Skin I Live In,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Drama Horror Thriller,7.6
927,Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Adventure Comedy Fantasy,7.6
928,The Wave,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Drama Thriller,7.6
929,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Action Adventure Mystery,7.6
930,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Biography Drama Sport,7.6
931,The Visitor,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Drama,7.6
932,Seven Pounds,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Drama,7.6
933,Eastern Promises,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Action Crime Drama,7.6
934,Death Note,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",Crime Drama Fantasy,7.6
935,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Adventure Family Fantasy,7.6
936,The Secret of Kells,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Animation Adventure Family,7.6
937,Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Crime Drama Mystery,7.6
938,Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Crime Drama Mystery,7.6
939,La Vie En Rose,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Biography Drama Music,7.6
940,Dead Man's Shoes,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Crime Drama Thriller,7.6
941,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Action Adventure Family,7.6
942,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Action Drama,7.6
943,Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Drama Romance Thriller,7.6
